[2016-04-20 20:23:06 XLog:setup] INFO log4j完成初始化
[2016-04-20 20:23:06 Slf4jMLog$Slf4jMLogger$InfoLogger:log] INFO MLog clients using slf4j logging.
[2016-04-20 20:23:07 Slf4jMLog$Slf4jMLogger$InfoLogger:log] INFO Initializing c3p0-0.9.5.1 [built 16-June-2015 00:06:36 -0700; debug? true; trace: 10]
[2016-04-20 20:23:07 Slf4jMLog$Slf4jMLogger$InfoLogger:log] INFO Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 8c30hc9gebno6k1wxkfdm|581ac8a8, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> 8c30hc9gebno6k1wxkfdm|581ac8a8, idleConnectionTestPeriod -> 60, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://localhost:3306/futureDB?zeroDateTimeBehavior=convertToNull&useUnicode=true&characterEncoding=UTF-8, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 600, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 20, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=001, ttable=dt_goodST, tname=商品站, ttype=0, typename=数据中心, torder=1, turl=http://www.100ppi.com/ppi/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=002, ttable=dt_price, tname=价格, ttype=0, typename=数据中心, torder=2, turl=http://www.100ppi.com/price/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=003, ttable=dt_goodT, tname=商品表, ttype=0, typename=数据中心, torder=3, turl=http://futures.100ppi.com/spb/, visible=0, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=004, ttable=dt_goodFuture, tname=现期表, ttype=0, typename=数据中心, torder=4, turl=http://www.100ppi.com/sf/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=005, ttable=dt_InnerFuture, tname=内期表, ttype=0, typename=数据中心, torder=5, turl=http://futures.100ppi.com/qhb/domestic/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=006, ttable=dt_OuterFuture, tname=外期表, ttype=0, typename=数据中心, torder=6, turl=http://futures.100ppi.com/qhb/overseas/, visible=0, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=007, ttable=dt_OuterPan, tname=外盘表, ttype=0, typename=数据中心, torder=7, turl=http://www.100ppi.com/ff/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=008, ttable=dt_SameDate, tname=同期表, ttype=0, typename=数据中心, torder=8, turl=http://futures.100ppi.com/tqb/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=009, ttable=dt_goodEle, tname=现电表, ttype=0, typename=数据中心, torder=9, turl=http://www.100ppi.com/se/, visible=0, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=010, ttable=dt_goodFutureDiff, tname=基差表, ttype=0, typename=数据中心, torder=10, turl=http://www.100ppi.com/sf2/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=011, ttable=dt_goodFutureDiffP, tname=基差率, ttype=0, typename=数据中心, torder=11, turl=http://www.100ppi.com/sf3/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
